Liszt, Franz;O lieb so lang du lieben kannst;12086
Liszt, Franz;O sacrum convivium;12087
Liszt, Franz;O salutaris hostia I;12088
Liszt, Franz;O salutaris hostia II;12089
Liszt, Franz;Oh! quand je dors;12090
Liszt, Franz;Organ Fantasy and Fugue in G minor (Bach);12092
Liszt, Franz;Ossa arida;12093
Liszt, Franz;Ouverture aus der Oper Der Freischütz;12094
Liszt, Franz;Ouverture des « Francs-juges » de Hector Berlioz;12095
Liszt, Franz;Paraphrases pour piano sur le thème favori et obligé;12099
Liszt, Franz;Pastorale. Schnitterchor aus dem Entfesselten Prometheus.;12100
Liszt, Franz;Pater noster I, S.29;12101
Liszt, Franz;Pater noster II, S.21;12102
Liszt, Franz;Pater noster III;12103
Liszt, Franz;Pax vobiscum!;12104
Liszt, Franz;La Perla;12105
Liszt, Franz;Petite valse favorite;12106
Liszt, Franz;Piano Concerto No.1 ;12108
Liszt, Franz;Piano Concerto No.2;12109
Liszt, Franz;Piano Sonata;12110
Liszt, Franz;Polonaise brillante, by Weber, S.367;12114
Liszt, Franz;2 Polonaises;12116
Liszt, Franz;Preludes and Fugues by J.S. Bach;12119
Liszt, Franz;Pro Papa;12121
Liszt, Franz;Provenzalisches Minnelied (Schumann);12122
Liszt, Franz;Psalm 13 (Herr, wie lange?);12123
Liszt, Franz;Qui Mariam absolvisti;12124
Liszt, Franz;Qui seminant in lacrimis;12125
Liszt, Franz;R.W. - Venezia;12126
Liszt, Franz;Recueillement;12128
Liszt, Franz;Réminiscences de « Don Juan » de Mozart;12132
Liszt, Franz;Réminiscences de La Juive. Fantaisie brillante sur des motifs de l'opéra de Halévy;12133
Liszt, Franz;Réminiscences de « Lucia de Lammermoor » de Donizetti;12134
Liszt, Franz;Réminiscences de Norma (Bellini);12135
Liszt, Franz;Réminiscences de Robert le Diable - Valse infernale (Meyerbeer);12136
Liszt, Franz;Réminiscences des Huguenots;12137
Liszt, Franz;Requiem für die Orgel;12138
Liszt, Franz;Requiem;12139
Liszt, Franz;Responsorien und Antiphonen;12140
Liszt, Franz;Rhapsodie espagnole;12141
Liszt, Franz;Romance;12142
Liszt, Franz;La romanesca;12143
Liszt, Franz;Rondo di bravura;12144
Liszt, Franz;Rosario;12145
Liszt, Franz;Die Rose aus Zemire und Azor (Spohr);12146
Liszt, Franz;S'il est un charmant gazon;12149
Liszt, Franz;Salve Regina;12150
Liszt, Franz;Sancta Caecilia;12151
Liszt, Franz;Sancta Dorothea;12152
Liszt, Franz;Scherzo;12154
Liszt, Franz;Scherzo und Marsch;12155
Liszt, Franz;Schlaflos! Frage und Antwort;12156
Liszt, Franz;Schubert's Impromptus [revised and edited by Franz Liszt];12157
Liszt, Franz;Schubert's Marches;12158
Liszt, Franz;Schwanengesang, by Schubert, S.560;12160
Liszt, Franz;Schwebe, schwebe, blaues Auge;12161
Liszt, Franz;Sei still;12162
Liszt, Franz;Die Seligkeiten;12163
Liszt, Franz;Septem Sacramenta;12164
Liszt, Franz;Slavimo slavno, Slaveni!;12166
Liszt, Franz;3 Sonetti del Petrarca;12169
Liszt, Franz;Drei Stücke aus Legende von der heiligen Elisabeth, S.498a;12198
Liszt, Franz;Des Tages laute Stimmen schweigen;12213
Liszt, Franz;Tantum ergo;12214
Liszt, Franz;Tanzmomente von Johann Herbeck;12215
Liszt, Franz;Te Deum I, S.27;12217
Liszt, Franz;Te Deum II, S.24;12218
Liszt, Franz;Toccata;12219
Liszt, Franz;La tombe et la Rose;12220
Liszt, Franz;Die tote Nachtigall;12221
Liszt, Franz;Des toten Dichters Liebe ;12222
Liszt, Franz;Totentanz. Paraphrase on the Dies Irae. (2-piano Arrangement);12223
Liszt, Franz;Totentanz. Paraphrase on the Dies Irae;12225
Liszt, Franz;Trauervorspiel und Trauermarsch;12227
Liszt, Franz;Tyrolean Melody (Auber);12229
Liszt, Franz;Und wir dachten der Toten;12230
Liszt, Franz;5 Ungarische Volkslieder;12231
Liszt, Franz;Ungarischer Geschwindmarsch;12232
Liszt, Franz;Ungarischer Sturmmarsch;12234
Liszt, Franz;Ungarns Gott. A magyarok Istene (Petófi);12236
Liszt, Franz;Valse mélancolique;12239
Liszt, Franz;Valse-Impromptu;12240
Liszt, Franz;Valses oubliées;12241
Liszt, Franz;Variation über einen Walzer von Diabelli;12242
Liszt, Franz;8 Variations;12244
Liszt, Franz;Vergiftet sind meine Lieder;12246
Liszt, Franz;Verlassen;12247
Liszt, Franz;Via Crucis;12248
Liszt, Franz;Le vieux vagabond;12249
Liszt, Franz;2 Vortragsstücke;12251
Liszt, Franz;Wandererfantasie (Schubert) (2-piano Arrangement);12255
Liszt, Franz;Wandererfantasie;12256
Liszt, Franz;Wartburg-Lieder;12257
Liszt, Franz;Was liebe sei;12258
Liszt, Franz;Weihnachtsbaum;12262
Liszt, Franz;Weimars Toten;12263
Liszt, Franz;Weimars Volkslied;12264
Liszt, Franz;Wer nie sein Brot mit Tränen aß;12265
Liszt, Franz;Wie singt die Lerche schön;12267
Liszt, Franz;Zur Trauung. Geistliche Vermählungsmusik (Ave Maria III), S.60;12269
Liszt, Franz;Adelaïde (Beethoven);24145
Liszt, Franz;Les Adieux - Rêverie sur un motif de l'opéra « Romeo et Juliette » de Charles Gounod;24146
Liszt, Franz;Albumblatt in E major;24147
Liszt, Franz;Albumblatt in Walzerform;24148
Liszt, Franz;Alleluja;24149
Liszt, Franz;Am stillen Herd / Lied aus Richard Wagner's Meistersinger ; Transcription für Pianoforte von Franz Liszt;24150
Liszt, Franz;An Edlitam;24151
Liszt, Franz;An den Sonnenschein und Rotes Röslein, 2 Lieder von Robert Schumann;24152
Liszt, Franz;Andante Finale und Marsch aus der Oper König Alfred von Joachim Raff;24153
Liszt, Franz;Années de pèlerinage I;24154
Liszt, Franz;Années de pèlerinage II;24155
Liszt, Franz;Années de pèlerinage II, Supplément;24156
Liszt, Franz;Années de Pèlerinage III;24157
Liszt, Franz;Aus Richard Wagners Lohengrin;24158
Liszt, Franz;Ave Maria;24159
Liszt, Franz;Ave Maria d' Arcadelt;24160
Liszt, Franz;Ballade aus Wagner's oper Der fliegende Holländer;24161
Liszt, Franz;Bénédiction et serment: deux motifs de Benvenuto Cellini de Hector Berlioz;24162
Liszt, Franz;Bist du;24163
Liszt, Franz;Bunte Reihe (Ferdinand David);24164
Liszt, Franz;Carrousel de Madame Pelet-Narbonne;24165
Liszt, Franz;Ce qu'on entend sur la montagne;24166
Liszt, Franz;Chanson bohémienne;24167
Liszt, Franz;Chanson du Béarn;24168
Liszt, Franz;Confutatis maledictis and Lacrimosa from Mozart's Requiem, K.626;24169
Liszt, Franz;Danse des Sylphes de « La damnation de Faust » de Hector Berlioz;24170
Liszt, Franz;Die drei Zigeuner ;24171
Liszt, Franz;Du bist wie eine Blume;24172
Liszt, Franz;Ein Fichtenbaum steht einsam (Heine);24173
Liszt, Franz;&amp;quot;Einsam bin ich, nicht alleine&amp;quot; aus dem Schauspiel Preziosa von Carl Maria von Weber;24174
Liszt, Franz;Elegy No.1;24175
Liszt, Franz;Elegy No.2;24176
Liszt, Franz;Ernani de Verdi - Paraphrase de concert;24177
Liszt, Franz;Es muss ein Wunderbares sein;24178
Liszt, Franz;Etude en douze exercices;24179
Liszt, Franz;Études d'exécution transcendante;24180
Liszt, Franz;Fantaisie sur des motifs favoris de l'opéra « La Sonnambula » de Bellini;24181
Liszt, Franz;Fantaisie sur l'opéra hongrois « Szép Ilonka » de Mosonyi Mihály;24182
Liszt, Franz;Fantasie über Motiven aus Beethovens Ruinen von Athen;24183
Liszt, Franz;Fantasie über Themen aus Mozarts Figaro und Don Giovanni;24184
Liszt, Franz;Fantasie über ungarische Volksmelodien;24185
Liszt, Franz;Fantasie und Fuge über den choral ''Ad nos, ad salutarem undam'';24186
Liszt, Franz;Faribolo Pasteur;24187
Liszt, Franz;Feierlicher Marsch zum heiligen Gral aus Wagner's Parsifal;24188
Liszt, Franz;Festklänge;24189
Liszt, Franz;Festmarsch zu Schillers 100jähriger Geburtstagsfeier von Giacomo Meyerbeer;24190
Liszt, Franz;Festmarsch zur Goethe-Jubiläumfeier;24191
Liszt, Franz;Festmarsch zur Säcularfeier von Goethes Geburtstag;24192
Liszt, Franz;Festpolonaise;24193
Liszt, Franz;Festvorspiel;24194
Liszt, Franz;Finale de « Don Carlos » de Verdi - Chœur de fête et Marche-finale;24195
Liszt, Franz;Die Fischerstochter;24196
Liszt, Franz;Die Forelle - Lied von Franz Schubert;24197
Liszt, Franz;Franz Schuberts geistliche Lieder;24198
Liszt, Franz;Galop Russe de Boulgakov;24199
Liszt, Franz;Gaudeamus igitur;24200
Liszt, Franz;Gebet;24201
Liszt, Franz;Glanes de Woronince;24202
Liszt, Franz;Go Not, Happy Day;24203
Liszt, Franz;Der Gondelfahrer. Männer-Quartett von Franz Schubert;24204
Liszt, Franz;Episode de la vie d'un Artiste. Grande Symphonie fantastique par Hector Berlioz;24205
Liszt, Franz;Grande fantaisie sur des motifs de Niobe de Pacini;24206
Liszt, Franz;Grande fantaisie pour le piano-forte sur la tirolienne de l'opéra « La Fiancée » d'Auber;24207
Liszt, Franz;Grande fantasie di bravura sur la Clochette de Paganini;24208
Liszt, Franz;Grande paraphrase de la Marche de Donizetti pour le Sultan Abdul-Medjid Khan;24209
Liszt, Franz;Grandes Etudes;24210
Liszt, Franz;Halloh! – Jagdchor und Steyrer aus der Oper Tony von Ernst II Herzog zu Sachsen-Coburg und Gotha (Duke Ernst);24211
Liszt, Franz;Hamlet;24212
Liszt, Franz;Harmonies poétiques et religieuses;24213
Liszt, Franz;Harmonies poétiques et religieuses (1853);24214
Liszt, Franz;Harold en Italie 'Symphonie en quatre parties';24215
Liszt, Franz;Helges Treue (Draeseke);24216
Liszt, Franz;Héroïde funèbre;24217
Liszt, Franz;Hexameron, Morceau de Concert;24218
Liszt, Franz;Hungaria;24219
Liszt, Franz;Hunnenschlacht;24220
Liszt, Franz;Hussitenlied;24221
Liszt, Franz;Hymne du matin;24222
Liszt, Franz;I Puritani - Introduction et Polonaise de l'opéra de Bellini;24223
Liszt, Franz;Ich möchte hingehn;24224
Liszt, Franz;Die Ideale;24225
Liszt, Franz;L'Idée fixe. Andante amoroso d'après une mélodie de Berlioz.;24226
Liszt, Franz;Illustrations de l'opéra L'africaine de Giacomo Meyerbeer;24227
Liszt, Franz;In Liebeslust;24228
Liszt, Franz;Isoldens Liebestod. Schlußszene aus Richard Wagners Tristan und Isolde;24229
Liszt, Franz;Isten veled;24230
Liszt, Franz;J'ai perdu ma force est ma vie;24231
Liszt, Franz;Jubelovertüre von Carl Maria von Weber;24232
Liszt, Franz;Konzertparaphrase über Mendelssohns Hochzeitsmarsch und Elfenreigen aus der Musik zu Shakespeares ''Sommernachtstraum'';24233
